"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Sep 08 10:42:37 UTC 2021","Wed Sep 08 10:42:44 UTC 2021","6878","All Test Suite","automationwebapp_pom","tests.signup","tests.signup","creatAccountWithoutEnterCityName","creatAccountWithoutEnterCityName",""
"broken","Wed Sep 08 10:29:34 UTC 2021","Wed Sep 08 10:29:35 UTC 2021","790","All Test Suite","automationwebapp_pom","tests.gifting","tests.gifting","sendGiftThroughPhone","sendGiftThroughPhone",""
"passed","Wed Sep 08 11:02:08 UTC 2021","Wed Sep 08 11:02:08 UTC 2021","211","All Test Suite","automationwebapp_pom","tests.Profile.California","tests.Profile.California","californiaToggle","californiaToggle",""
"passed","Wed Sep 08 09:56:48 UTC 2021","Wed Sep 08 09:57:11 UTC 2021","22568","All Test Suite","automationwebapp_pom","tests.Profile.personalDetails","tests.Profile.personalDetails","changeCity","changeCity",""
"passed","Wed Sep 08 10:25:51 UTC 2021","Wed Sep 08 10:25:58 UTC 2021","6898","All Test Suite","automationwebapp_pom","tests.dashboard","tests.dashboard","verifyIfClickOnFindOutHowLeadsToSquadsPage","Test:Click On find out how , verifying if it is taking to squads Create page",""
"passed","Wed Sep 08 10:33:17 UTC 2021","Wed Sep 08 10:33:32 UTC 2021","15005","All Test Suite","automationwebapp_pom","tests.gifting","tests.gifting","sendGiftsThroughEmailWithPayNow","sendGiftsThroughEmailWithPayNow",""
"broken","Wed Sep 08 10:35:12 UTC 2021","Wed Sep 08 10:35:18 UTC 2021","5820","All Test Suite","automationwebapp_pom","tests.login","tests.login","forgotPasswordWithWrongRePassword","forgotPasswordWithWrongRePassword",""
"skipped","Wed Sep 08 11:15:59 UTC 2021","Wed Sep 08 11:15:59 UTC 2021","0","All Test Suite","automationwebapp_pom","tests.Profile.Disclouser","tests.Profile.Disclouser","openFinancialStatements","openFinancialStatements",""
"passed","Wed Sep 08 10:31:30 UTC 2021","Wed Sep 08 10:31:47 UTC 2021","16559","All Test Suite","automationwebapp_pom","tests.gifting","tests.gifting","sendGiftWithoutMessageThroughPhone","sendGiftWithoutMessageThroughPhone",""
"passed","Wed Sep 08 09:51:33 UTC 2021","Wed Sep 08 09:51:53 UTC 2021","19960","All Test Suite","automationwebapp_pom","tests.Profile.personalDetails","tests.Profile.personalDetails","changeLastNameWithSymbol","changeLastNameWithSymbol",""
"passed","Wed Sep 08 09:59:55 UTC 2021","Wed Sep 08 10:00:11 UTC 2021","16373","All Test Suite","automationwebapp_pom","tests.Profile.personalDetails","tests.Profile.personalDetails","submitPasswordWithoutOldPassword","submitPasswordWithoutOldPassword",""
"skipped","Wed Sep 08 11:15:59 UTC 2021","Wed Sep 08 11:15:59 UTC 2021","1","All Test Suite","automationwebapp_pom","tests.Profile.Disclouser","tests.Profile.Disclouser","openSurveyorCoed","openSurveyorCoed",""
"passed","Wed Sep 08 10:38:14 UTC 2021","Wed Sep 08 10:38:36 UTC 2021","21581","All Test Suite","automationwebapp_pom","tests.messaging","tests.messaging","sendMessageToFakeUser","sendMessageToFakeUser",""
"broken","Wed Sep 08 10:35:51 UTC 2021","Wed Sep 08 10:35:57 UTC 2021","5950","All Test Suite","automationwebapp_pom","tests.login","tests.login","forgotPasswordWithOutWords","forgotPasswordWithOutWords",""
"passed","Wed Sep 08 09:53:32 UTC 2021","Wed Sep 08 09:53:55 UTC 2021","23036","All Test Suite","automationwebapp_pom","tests.Profile.personalDetails","tests.Profile.personalDetails","changeMiddleName","changeMiddleName",""
"passed","Wed Sep 08 09:57:50 UTC 2021","Wed Sep 08 09:58:14 UTC 2021","24125","All Test Suite","automationwebapp_pom","tests.Profile.personalDetails","tests.Profile.personalDetails","changeState","changeState",""
"broken","Wed Sep 08 10:43:39 UTC 2021","Wed Sep 08 10:43:46 UTC 2021","6689","All Test Suite","automationwebapp_pom","tests.signup","tests.signup","clickSubmitButtonWithWrongOtp","clickSubmitButtonWithWrongOtp",""
"passed","Wed Sep 08 10:21:04 UTC 2021","Wed Sep 08 10:21:12 UTC 2021","8133","All Test Suite","automationwebapp_pom","tests.Squad.squadsCreate","tests.Squad.squadsCreate","addInvalidEmail","addInvalidEmail",""
"passed","Wed Sep 08 10:11:17 UTC 2021","Wed Sep 08 10:11:33 UTC 2021","15595","All Test Suite","automationwebapp_pom","tests.Profile.profile","tests.Profile.profile","checkInterestSection","checkInterestSection",""
"broken","Wed Sep 08 10:42:06 UTC 2021","Wed Sep 08 10:42:13 UTC 2021","6736","All Test Suite","automationwebapp_pom","tests.signup","tests.signup","creatingAccountByGivingAllInputs","creatingAccountByGivingAllInputs",""
"passed","Wed Sep 08 10:40:03 UTC 2021","Wed Sep 08 10:40:06 UTC 2021","3089","All Test Suite","automationwebapp_pom","tests.signup","tests.signup","clickSubmitButtonWithoutEmail","clickSubmitButtonWithoutEmail",""
"passed","Wed Sep 08 10:32:24 UTC 2021","Wed Sep 08 10:32:41 UTC 2021","16251","All Test Suite","automationwebapp_pom","tests.gifting","tests.gifting","sendGiftWithoutMessageThroughEmail","sendGiftWithoutMessageThroughEmail",""
"passed","Wed Sep 08 10:17:37 UTC 2021","Wed Sep 08 10:17:44 UTC 2021","7385","All Test Suite","automationwebapp_pom","tests.Profile.transaction","tests.Profile.transaction","clickTransaction","clickTransaction",""
"passed","Wed Sep 08 11:03:31 UTC 2021","Wed Sep 08 11:03:37 UTC 2021","6553","All Test Suite","automationwebapp_pom","tests.Profile.ClusterHolding","tests.Profile.ClusterHolding","downloadCluster","downloadCluster",""
"passed","Wed Sep 15 12:01:27 UTC 2021","Wed Sep 15 12:01:41 UTC 2021","14551","All Test Suite","automationwebapp_pom","tests.login","tests.login","loginWithCorrectDetails","Test:Login Test With Correct Details",""
"passed","Wed Sep 08 09:54:34 UTC 2021","Wed Sep 08 09:54:53 UTC 2021","19465","All Test Suite","automationwebapp_pom","tests.Profile.personalDetails","tests.Profile.personalDetails","changeMiddleNameWithSymbol","changeMiddleNameWithSymbol",""
"passed","Wed Sep 08 10:36:05 UTC 2021","Wed Sep 08 10:36:09 UTC 2021","4573","All Test Suite","automationwebapp_pom","tests.login","tests.login","forgotPasswordWithWrongUser","forgotPasswordWithWrongUser",""
"passed","Wed Sep 15 12:01:51 UTC 2021","Wed Sep 15 12:01:55 UTC 2021","4139","All Test Suite","automationwebapp_pom","tests.login","tests.login","loginWithWrongDetails","Test:Login Test With Wrong Details",""
"broken","Wed Sep 08 10:42:22 UTC 2021","Wed Sep 08 10:42:29 UTC 2021","7037","All Test Suite","automationwebapp_pom","tests.signup","tests.signup","creatAccountWithoutEnterCountryName","creatAccountWithoutEnterCountryName",""
"skipped","Wed Sep 08 11:15:59 UTC 2021","Wed Sep 08 11:15:59 UTC 2021","1","All Test Suite","automationwebapp_pom","tests.Profile.Disclouser","tests.Profile.Disclouser","openCertificateIncorporation","openCertificateIncorporation",""
"broken","Wed Sep 08 10:42:53 UTC 2021","Wed Sep 08 10:43:00 UTC 2021","6639","All Test Suite","automationwebapp_pom","tests.signup","tests.signup","creatAccountWithoutEnterStateName","creatAccountWithoutEnterStateName",""
"passed","Wed Sep 08 10:03:48 UTC 2021","Wed Sep 08 10:04:04 UTC 2021","16534","All Test Suite","automationwebapp_pom","tests.Profile.personalDetails","tests.Profile.personalDetails","checkPasswordWithUnmatchedNewPassword","checkPasswordWithUnmatchedNewPassword",""
"passed","Wed Sep 08 09:50:34 UTC 2021","Wed Sep 08 09:50:54 UTC 2021","19559","All Test Suite","automationwebapp_pom","tests.Profile.personalDetails","tests.Profile.personalDetails","changeLastNameWithoutFirstName","changeLastNameWithoutFirstName",""
"passed","Wed Sep 08 10:15:49 UTC 2021","Wed Sep 08 10:16:04 UTC 2021","14827","All Test Suite","automationwebapp_pom","tests.Profile.profile","tests.Profile.profile","checkCaliforniaSection","checkCaliforniaSection",""
"passed","Wed Sep 08 10:27:12 UTC 2021","Wed Sep 08 10:27:14 UTC 2021","2015","All Test Suite","automationwebapp_pom","tests.dashboard","tests.dashboard","verifyIfFacebookIconLeadsToFacebookPage","Test:Click on Facebook Icon on Footer, verify if it is taking to facebook page or not.",""
"broken","Wed Sep 08 09:55:31 UTC 2021","Wed Sep 08 09:55:31 UTC 2021","30","All Test Suite","automationwebapp_pom","tests.Profile.personalDetails","tests.Profile.personalDetails","uploadProfilePic","uploadProfilePic",""
"passed","Wed Sep 08 10:28:18 UTC 2021","Wed Sep 08 10:28:18 UTC 2021","1","All Test Suite","automationwebapp_pom","tests.demo","tests.demo","demoTest1","demoTest1",""
